question,type,history,kure_openai_avg_faithfulness,kure_openai_avg_relevance,kure_openai_avg_rejection,kure_openai_avg_correctness,kure_openai_avg_context_precision,kure_openai_avg_context_recall,small_openai_avg_faithfulness,small_openai_avg_relevance,small_openai_avg_rejection,small_openai_avg_correctness,small_openai_avg_context_precision,small_openai_avg_context_recall,kure_gemma_avg_faithfulness,kure_gemma_avg_relevance,kure_gemma_avg_rejection,kure_gemma_avg_context_precision,kure_gemma_avg_correctness,kure_gemma_avg_context_recall,kure_phi_avg_faithfulness,kure_phi_avg_relevance,kure_phi_avg_rejection,kure_phi_avg_context_precision,kure_phi_avg_correctness,kure_phi_avg_context_recall,kure_qwen_avg_faithfulness,kure_qwen_avg_relevance,kure_qwen_avg_rejection,kure_qwen_avg_context_precision,kure_qwen_avg_correctness,kure_qwen_avg_context_recall,koe5_gemma_avg_faithfulness,koe5_gemma_avg_relevance,koe5_gemma_avg_rejection,koe5_gemma_avg_context_precision,koe5_gemma_avg_correctness,koe5_gemma_avg_context_recall,koe5_phi_avg_faithfulness,koe5_phi_avg_relevance,koe5_phi_avg_rejection,koe5_phi_avg_context_precision,koe5_phi_avg_correctness,koe5_phi_avg_context_recall,koe5_qwen_avg_faithfulness,koe5_qwen_avg_relevance,koe5_qwen_avg_rejection,koe5_qwen_avg_context_precision,koe5_qwen_avg_correctness,koe5_qwen_avg_context_recall,koe5_openai_avg_faithfulness,koe5_openai_avg_relevance,koe5_openai_avg_rejection,koe5_openai_avg_context_precision,koe5_openai_avg_correctness,koe5_openai_avg_context_recall,small_gemma_avg_faithfulness,small_gemma_avg_relevance,small_gemma_avg_rejection,small_gemma_avg_context_precision,small_gemma_avg_correctness,small_gemma_avg_context_recall,small_phi_avg_faithfulness,small_phi_avg_relevance,small_phi_avg_rejection,small_phi_avg_context_precision,small_phi_avg_correctness,small_phi_avg_context_recall,small_qwen_avg_faithfulness,small_qwen_avg_relevance,small_qwen_avg_rejection,small_qwen_avg_context_precision,small_qwen_avg_correctness,small_qwen_avg_context_recall
한국가스공사의 '차세대 통합정보시스템(ERP) 구축' 사업 예산 규모는 얼마입니까?,A,[],5,3,5,,2,,5,3,5,,2,,5,2,5,1,,,5,2,5,1,,,1,3,5,1,,,5,3,5,1,,,5,1,5,1,,,1,3,5,1,,,5,4,5,2,,,5,4,5,1,,,5,1,5,1,,,1,2,5,1,,
고려대학교에서 발주한 '차세대 포털·학사 정보시스템 구축사업'의 예산은 얼마로 배정되어 있나요?,A,[],3,2,5,,4,,2,2,5,,4,,5,1,5,1,,,5,3,5,1,,,5,1,5,1,,,1,1,5,1,,,5,2,5,1,,,1,2,3,1,,,2,2,5,2,,,1,1,5,1,,,5,3,5,1,,,5,4,5,1,,
코이카(KOICA) 전자조달의 '우즈베키스탄 열린 의정활동 상하원 국회 방송시스템 구축 및 지역의회 연계 개선 PMC 용역' 예산 규모는 어떻게 됩니까?,A,[],5,5,5,,5,,1,2,1,,1,,5,2,5,1,,,5,2,5,1,,,5,2,5,1,,,1,5,5,1,,,1,5,1,5,,,1,5,5,1,,,3,3,5,1,,,5,3,5,1,,,5,2,5,1,,,1,2,5,1,,
한국가스공사의 ERP 구축 사업에 도입되는 신규 소프트웨어 내역과 인프라 내역을 모두 나열해 주시겠습니까?,A,[],5,4,5,,4,,4,4,1,,4,,5,1,5,1,,,5,1,5,1,,,1,1,5,1,,,1,3,1,1,,,1,4,1,1,,,1,4,1,1,,,4,4,1,2,,,1,3,1,1,,,1,4,1,1,,,1,3,1,1,,
그랜드코리아레저(주)의 그룹웨어 구축 사업에서 목표로 하는 시스템 개선의 대상 범위를 모두 열거해 주십시오.,A,[],5,5,5,,5,,5,5,5,,5,,5,5,5,5,,,5,5,5,5,,,4,5,1,5,,,5,5,5,4,,,5,5,5,4,,,3,5,1,5,,,5,5,5,5,,,5,5,5,5,,,5,5,1,4,,,4,4,1,5,,
국립중앙의료원의 차세대 응급의료 상황관리시스템 구축 위탁용역에서 응급실 섭외 지연 문제를 해결하기 위해 제시한 콜센터 구축 외에 함께 도입되는 통신 환경의 조건은 무엇인가요?,A,[],1,1,5,,1,,2,1,5,,2,,5,1,5,1,,,5,1,5,5,,,1,2,1,5,,,1,1,5,1,,,5,1,5,5,,,1,1,5,5,,,1,1,5,1,,,1,5,1,1,,,1,4,1,5,,,1,4,1,5,,
한국가스공사의 '차세대 ERP 구축' 사업과 고려대학교의 '차세대 포털·학사 정보시스템 구축사업' 간의 예산 규모 차이는 얼마입니까?,B,[],3,3,5,,1,,2,3,5,,1,,5,1,5,1,,,5,1,5,1,,,5,3,5,1,,,1,1,5,1,,,5,2,5,1,,,1,1,5,5,,,1,2,5,1,,,1,2,5,1,,,5,1,5,1,,,5,1,5,2,,
한국수자원공사의 '용인 첨단 시스템반도체 국가산단 용수공급사업'과 한국수출입은행의 '모잠비크 마푸토 ITS 구축사업'은 모두 타당성 조사 용역을 포함하고 있습니다. 두 사업의 예산 차액은 얼마입니까?,B,[],3,3,5,,2,,3,2,5,,2,,1,3,1,4,,,5,1,5,5,,,5,3,5,1,,,1,2,5,1,,,5,2,5,1,,,1,2,5,5,,,1,3,5,4,,,1,2,5,4,,,5,1,5,1,,,1,1,1,1,,
그랜드코리아레저(주)의 그룹웨어 시스템 구축 사업과 인천광역시의 도시계획위원회 통합관리시스템 구축 용역 중 예산 규모가 더 작은 사업은 무엇인가요?,B,[],1,1,5,,2,,1,1,5,,1,,5,1,5,2,,,5,1,5,5,,,1,2,5,5,,,1,5,5,5,,,1,2,3,5,,,1,2,1,1,,,1,2,5,1,,,1,4,5,1,,,1,3,5,1,,,1,3,1,1,,
국립중앙의료원의 차세대 응급의료 상황관리시스템 사업과 한국원자력연구원의 선량평가시스템 고도화 사업 모두 시스템 고도화 및 구축을 목적으로 합니다. 두 기관 중 어느 곳의 예산이 더 많이 배정되었나요?,B,[],1,2,5,,1,,1,1,5,,2,,1,5,1,1,,,5,2,5,1,,,5,2,5,5,,,5,2,5,5,,,1,3,5,2,,,1,3,3,1,,,2,3,5,3,,,1,2,5,1,,,1,3,5,5,,,1,4,1,1,,
