question,type,difficulty,history,retrieved_context,ans_small_openai
한국가스공사의 '차세대 통합정보시스템(ERP) 구축' 사업 예산 규모는 얼마입니까?,A,하,[],"







","해당 정보를 찾을 수 없습니다.

출처: [참고 문서]"
고려대학교에서 발주한 '차세대 포털·학사 정보시스템 구축사업'의 예산은 얼마로 배정되어 있나요?,A,하,[],"







","해당 정보를 찾을 수 없습니다. 제공된 참고 문서들에서 '차세대 포털·학사 정보시스템 구축사업'의 예산 배정액을 확인할 수 없습니다.

출처 문서명: [참고 문서]"
코이카(KOICA) 전자조달의 '우즈베키스탄 열린 의정활동 상하원 국회 방송시스템 구축 및 지역의회 연계 개선 PMC 용역' 예산 규모는 어떻게 됩니까?,A,하,[],"







","해당 정보를 찾을 수 없습니다.

출처: 제공된 참고 문서 없음"
한국가스공사의 ERP 구축 사업에 도입되는 신규 소프트웨어 내역과 인프라 내역을 모두 나열해 주시겠습니까?,A,중,[],"







","해당 정보를 찾을 수 없습니다.

제공된 [참고 문서]에 한국가스공사 ERP 구축 사업의 신규 소프트웨어 내역 또는 인프라 내역에 관한 내용이 없습니다.

출처 문서명: 제공된 참고 문서 없음"
그랜드코리아레저(주)의 그룹웨어 구축 사업에서 목표로 하는 시스템 개선의 대상 범위를 모두 열거해 주십시오.,A,중,[],"제 안 요 청 서
 
사 업 명
GKL 그룹웨어 시스템 구축사업
주관기관
그랜드코리아레저(주)
2024. 04
 
사업
담당자
제안/과업내용
이경남 차장
02)6421-6466
Ign@7luck.com
한수림 사원
02)6421-6104
slhan23@7luck.com
박동진 사원
02)6421-6470
pdjworld@7luck.com
입찰/계약사항
정승순 대리
02)6421-6661
jss1362@7luck.com
 
목 차
Ⅰ. 사업 개요	 - 	 1
 1. 추진 배경 및 필요성	 - 	 1
 2. 사업 범위	 - 	 1

사업예산 : 1,515,000천원 (부가세 포함)
 계약방법 : 제한경쟁입찰(협상에 의한 계약)
 평가방식 : 기술평가(90%)/가격평가(10%)
2. 추진 배경 및 필요성
 (시스템 노후화) 그룹웨어 및 기록물관리, 사내SNS(별별얘기), 메신저 시스템 노후화로 SW의 기술지원 종료, 요구사항 증가로 인한 설계 한계 초과 및 서비스 질 저하 등 개선 필요
 (정부권장정책 적용) 비표준(ActiveX), IE 종속성 및 보안취약점 제거 등 관련 정부 정책에 대응이 가능한 시스템 구축 필요

(웹기반 시스템) 기존 운영중인 시스템과 원활하게 연동되고, 다양한 웹 환경에서 업무를 수행할 수 있는 최신 웹기반 그룹웨어 시스템 구축하여 효율적인 업무환경 제공
 (업무환경 개선) 사용자의 편의성을 최우선으로 고려하여 업무프로세스 재설계 및 업무 환경 개선을 위한 새로운 비즈니스 적용 기반 마련 
2. 사업 범위
 그룹웨어 시스템 구축
 
구 분
기 능
상 세 설 명
포털
시스템 별 중요정보 표기
‣ 기관 공통 업무에 필요한 각 시스템별 정보 표기
‣ 각 시스템 링크 제공, 알림사항 등
전자결재
전자문서의

6. 입찰시 유의사항	 - 	 131
 7. 기타사항	 - 	 132
 [첨부1] 제안서 평가항목 및 배점한도	 - 	 135
 [첨부2] 적정 사업기간 산정서	 - 	 142
 [첨부3] 외부 용역사업 보안특약	 - 	 143
 [첨부4] 기술 적용 계획표	 - 	 148
 [첨부5] 입찰 관련 서식	 - 	 154 
 
Ⅰ
 사업개요
1. 사업일반
 사 업 명 : GKL 그룹웨어 시스템 구축사업
 사업기간 : 계약일로부터 6개월 이내
 사업예산 : 1,515,000천원 (부가세 포함)

‣ 그룹웨어 기능에 대해서 모바일에서 동일하게 지원가능한 환경구축 등 
‣ 임직원 검색, 조직도, 주요일정, 사회공헌, 경영",[생성 오류: 최대 재시도 초과]
국립중앙의료원의 차세대 응급의료 상황관리시스템 구축 위탁용역에서 응급실 섭외 지연 문제를 해결하기 위해 제시한 콜센터 구축 외에 함께 도입되는 통신 환경의 조건은 무엇인가요?,A,상,[],"







","해당 정보를 찾을 수 없습니다.

출처: [참고 문서]"
한국가스공사의 '차세대 ERP 구축' 사업과 고려대학교의 '차세대 포털·학사 정보시스템 구축사업' 간의 예산 규모 차이는 얼마입니까?,B,하,[],"







","해당 정보를 찾을 수 없습니다.

출처: 제공된 [참고 문서]"
한국수자원공사의 '용인 첨단 시스템반도체 국가산단 용수공급사업'과 한국수출입은행의 '모잠비크 마푸토 ITS 구축사업'은 모두 타당성 조사 용역을 포함하고 있습니다. 두 사업의 예산 차액은 얼마입니까?,B,하,[],"







","해당 정보를 찾을 수 없습니다. 제공된 [참고 문서]가 없어 두 사업의 예산 금액을 확인할 수 없습니다.

출처: 제공된 참고 문서 없음"
그랜드코리아레저(주)의 그룹웨어 시스템 구축 사업과 인천광역시의 도시계획위원회 통합관리시스템 구축 용역 중 예산 규모가 더 작은 사업은 무엇인가요?,B,하,[],"







","해당 정보를 찾을 수 없습니다.

출처: [참고 문서]"
국립중앙의료원의 차세대 응급의료 상황관리시스템 사업과 한국원자력연구원의 선량평가시스템 고도화 사업 모두 시스템 고도화 및 구축을 목적으로 합니다. 두 기관 중 어느 곳의 예산이 더 많이 배정되었나요?,B,하,[],"







","해당 정보를 찾을 수 없습니다.

출처: [참고 문서]"
코이카 전자조달의 우즈베키스탄 방송시스템 사업과 아시아물위원회 사무국의 스마트 관개시스템 사업의 구축 대상 국가와 분야를 비교 설명해 주십시오.,B,중,[],"







","요청하신 두 사업(코이카 전자조달의 우즈베키스탄 방송시스템 사업, 아시아물위원회 사무국의 스마트 관개시스템 사업)에 대한 구축 대상 국가와 분야 정보는 제공된 참고 문서에 없습니다. 해당 정보를 찾을 수 없습니다.

출처: [참고 문서]"
나노종합기술원의 스마트 팹 서비스 관련 설비온라인 사업과 부산국제영화제의 BIFF & ACFM 온라인서비스 재개발 사업의 추진 목적 및 예상되는 기대효과를 대비해서 요약해 주세요.,B,중,[],"







","해당 정보를 찾을 수 없습니다.
제공된 [참고 문서]에 나노종합기술원의 스마트 팹 서비스 관련 설비온라인 사업과 부산국제영화제의 BIFF & ACFM 온라인서비스 재개발 사업의 추진 목적 및 예상되는 기대효과에 관한 내용이 포함되어 있지 않습니다.

출처: 제공된 참고 문서(없음)"
"고려대학교의 '차세대 포털·학사 정보시스템', 그랜드코리아레저(주)의 '그룹웨어 시스템', 인천광역시의 '통합관리시스템 구축' 세 기관의 정보화 구축 사업에서 각 플랫폼이 가장 우선시하는 핵심 개선 목적 영역은 무엇이며, 각 사업별 예산을 기술해 주십시오.",B,상,[],"







","요청하신 세 사업의 핵심 개선 목적 영역과 사업별 예산 관련 정보는 제공된 참고 문서에 없습니다. 각 항목에 대해 아래와 같이 답합니다.

- 고려대학교 '차세대 포털·학사 정보시스템'
  - 핵심 개선 목적 영역: 해당 정보를 찾을 수 없습니다.
  - 예산: 해당 정보를 찾을 수 없습니다.

- 그랜드코리아레저(주) '그룹웨어 시스템'
  - 핵심 개선 목적 영역: 해당 정보를 찾을 수 없습니다.
  - 예산: 해당 정보를 찾을 수 없습니다.

- 인천광역시 '통합관리시스템 구축'
  - 핵심 개선 목적 영역: 해당 정보를 찾을 수 없습니다.
  - 예산: 해당 정보를 찾을 수 없습니다.

출처: [참고 문서]"
